country,sight,image_url,info
프랑스,오르세 미술관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/26/b3/6e/20180601-122841-largejpg.jpg?w=800&h=700&s=1,아트뮤지엄
프랑스,Old Town,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/f5/ea/a5/vieille-ville-ciudad.jpg?w=800&h=700&s=1,인근 지역
프랑스,Basilique Notre Dame de la Garde,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/f0/0d/d2/photo1jpg.jpg?w=800&h=700&s=1,신성한 & 종교적인 장소
프랑스,Vieux Lyon,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/da/01/47/vieux-lyon.jpg?w=800&h=700&s=1,유서 깊은 산책로
프랑스,Place de la Bourse,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/60/4e/b2/photo0jpg.jpg?w=800&h=700&s=1,즐길거리 & 랜드마크
프랑스,La Petite France,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/e0/3b/19/photo0jpg.jpg?w=800&h=700&s=1,인근 지역
프랑스,Le Capitole,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/58/b9/d0/by-night.jpg?w=800&h=700&s=1,즐길거리 & 랜드마크
프랑스,캐슬 힐,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/8a/a5/9e/che-panorama-da-lassu.jpg?w=800&h=700&s=1,전망대
프랑스,디즈니랜드 파크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/6f/cf/ad/entrada.jpg?w=800&h=700&s=1,디즈니 파크 & 액티비티
프랑스,Vieux-Lille,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/c0/7e/ba/photo6jpg.jpg?w=600&h=400&s=1,즐길거리 & 랜드마크
