country,sight,image_url,info
이탈리아,성 베드로 대성당,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/01/ff/1f/photo1jpg.jpg?w=800&h=700&s=1,역사적인 장소
이탈리아,대성당 (두오모),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/65/8c/natele-al-duomo.jpg?w=800&h=700&s=1,신성한 & 종교적인 장소
이탈리아,우피치 갤러리,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/93/4f/fd/uffizi-gallery.jpg?w=800&h=700&s=1,아트뮤지엄
이탈리아, 두 칼레 궁전,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/62/d4/a6/20160525-134703-largejpg.jpg?w=800&h=700&s=1,전문 박물관
이탈리아,Underground Naples,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/41/07/ae/napoli-sotterranea.jpg?w=700&h=-1&s=1,유서 깊은 산책로
이탈리아,토리노 이집트 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/73/f1/8c/particolare-new-gallery.jpg?w=700&h=-1&s=1,아트뮤지엄
이탈리아,Santuario di Madonna di San Luca,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/56/de/1e/20160520-165951-largejpg.jpg?w=800&h=700&s=1,교회 & 성당
이탈리아,Palazzo Conte Federico,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/9d/15/f7/palazzo-conte-federico.jpg?w=700&h=700&s=1,역사적인 장소
이탈리아,Arena di Verona,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/a4/e7/ba/arena-di-verona.jpg?w=800&h=700&s=1,역사적인 장소
이탈리아,Bagni della Regina Giovanna,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/4b/c0/09/i-bagni-della-regina.jpg?w=800&h=700&s=1,해변
